clusterID	comparison	p-value
chr1:999613-999691:-	SRR12801020_SRR12801024	0.0181168923272018
chr1:999613-999865:-	SRR12801019_SRR12801023	1.0
chr1:999613-999865:-	SRR12801019_SRR12801020	1.0
chr1:999613-999865:-	SRR12801019_SRR12801024	0.034816495556585
chr1:999613-999865:-	SRR12801023_SRR12801020	0.7030764774974965
chr1:999613-999865:-	SRR12801023_SRR12801024	1.0
chr1:999613-999865:-	SRR12801020_SRR12801024	0.0170846910737118
chr1:999787-999865:-	SRR12801019_SRR12801023	1.0
chr1:999787-999865:-	SRR12801019_SRR12801020	1.0
chr1:999787-999865:-	SRR12801019_SRR12801024	0.0029329862168589
chr1:999787-999865:-	SRR12801023_SRR12801020	1.0
chr1:999787-999865:-	SRR12801023_SRR12801024	1.0
chr1:999787-999865:-	SRR12801020_SRR12801024	0.0331291938268159
chr1:1338653-1339286:+	SRR12801019_SRR12801023	1.0
chr1:1338653-1339286:+	SRR12801019_SRR12801020	1.0
chr1:1338653-1339286:+	SRR12801019_SRR12801024	0.1988914371099686
chr1:1338653-1339286:+	SRR12801023_SRR12801020	1.0
chr1:1338653-1339286:+	SRR12801023_SRR12801024	0.00278596273526
chr1:1338653-1339286:+	SRR12801020_SRR12801024	0.234227955000836
chr1:1338653-1339286:-	SRR12801019_SRR12801023	1.0
chr1:1338653-1339286:-	SRR12801019_SRR12801020	1.0
chr1:1338653-1339286:-	SRR12801019_SRR12801024	0.0130709497593286
chr1:1338653-1339286:-	SRR12801023_SRR12801020	1.0
chr1:1338653-1339286:-	SRR12801023_SRR12801024	0.0100345932941773
chr1:1338653-1339286:-	SRR12801020_SRR12801024	0.6474841857041905
chr1:1338653-1339361:+	SRR12801019_SRR12801023	1.0
chr1:1338653-1339361:+	SRR12801019_SRR12801020	1.0
chr1:1338653-1339361:+	SRR12801019_SRR12801024	0.1988914371099686
chr1:1338653-1339361:+	SRR12801023_SRR12801020	1.0
chr1:1338653-1339361:+	SRR12801023_SRR12801024	0.00278596273526
chr1:1338653-1339361:+	SRR12801020_SRR12801024	0.234227955000836
chr1:1338653-1339361:-	SRR12801019_SRR12801023	1.0
chr1:1338653-1339361:-	SRR12801019_SRR12801020	1.0
chr1:1338653-1339361:-	SRR12801019_SRR12801024	0.0130709497593286
chr1:1338653-1339361:-	SRR12801023_SRR12801020	1.0
chr1:1338653-1339361:-	SRR12801023_SRR12801024	0.0100345932941773
chr1:1338653-1339361:-	SRR12801020_SRR12801024	0.6474841857041905
chr1:1388065-1388625:-	SRR12801019_SRR12801023	1.0
chr1:1388065-1388625:-	SRR12801019_SRR12801020	0.7094311096192322
chr1:1388065-1388625:-	SRR12801019_SRR12801024	0.0258052049811579
chr1:1388065-1388625:-	SRR12801023_SRR12801020	1.0
chr1:1388065-1388625:-	SRR12801023_SRR12801024	0.1699789236612537
chr1:1388065-1388625:-	SRR12801020_SRR12801024	1.0
chr1:1402256-1405808:-	SRR12801019_SRR12801023	1.0
chr1:1402256-1405808:-	SRR12801019_SRR12801020	0.0317096882893066
chr1:1402256-1405808:-	SRR12801019_SRR12801024	0.0106676649457416
chr1:1402256-1405808:-	SRR12801023_SRR12801020	0.154971739809826
chr1:1402256-1405808:-	SRR12801023_SRR12801024	0.0762114659864595
chr1:1402256-1405808:-	SRR12801020_SRR12801024	1.0
chr1:1402601-1405808:-	SRR12801019_SRR12801023	1.0
chr1:1402601-1405808:-	SRR12801019_SRR12801020	0.0182432707579401
chr1:1402601-1405808:-	SRR12801019_SRR12801024	0.2569612218443509
chr1:1402601-1405808:-	SRR12801023_SRR12801020	0.496465870606921
chr1:1402601-1405808:-	SRR12801023_SRR12801024	1.0
chr1:1402601-1405808:-	SRR12801020_SRR12801024	1.0
chr1:1705732-1707408:-	SRR12801019_SRR12801023	1.0
chr1:1705732-1707408:-	SRR12801019_SRR12801020	1.0
chr1:1705732-1707408:-	SRR12801019_SRR12801024	0.3327502539549375
chr1:1705732-1707408:-	SRR12801023_SRR12801020	1.0
chr1:1705732-1707408:-	SRR12801023_SRR12801024	0.0389310448328943
chr1:1705732-1707408:-	SRR12801020_SRR12801024	0.2580901079346679
chr1:1705732-1707524:-	SRR12801019_SRR12801023	1.0
chr1:1705732-1707524:-	SRR12801019_SRR12801020	1.0
chr1:1705732-1707524:-	SRR12801019_SRR12801024	0.3327502539549375
chr1:1705732-1707524:-	SRR12801023_SRR12801020	1.0
chr1:1705732-1707524:-	SRR12801023_SRR12801024	0.0389310448328943
chr1:1705732-1707524:-	SRR12801020_SRR12801024	0.2580901079346679
chr1:1722831-1734689:-	SRR12801019_SRR12801023	1.0
chr1:1722831-1734689:-	SRR12801019_SRR12801020	0.0548904049039358
chr1:1722831-1734689:-	SRR12801019_SRR12801024	1.0
chr1:1722831-1734689:-	SRR12801023_SRR12801020	0.0379398250601816
chr1:1722831-1734689:-	SRR12801023_SRR12801024	1.0
chr1:1722831-1734689:-	SRR12801020_SRR12801024	0.809052827619081
chr1:1739704-1744250:-	SRR12801019_SRR12801023	1.0
chr1:1739704-1744250:-	SRR12801019_SRR12801020	1.0
chr1:1739704-1744250:-	SRR12801019_SRR12801024	1.0
chr1:1739704-1744250:-	SRR12801023_SRR12801020	0.0099721093193986
chr1:1739704-1744250:-	SRR12801023_SRR12801024	1.0
chr1:1739704-1744250:-	SRR12801020_SRR12801024	0.196095001143395
chr1:1753060-1753566:-	SRR12801019_SRR12801023	1.0
chr1:1753060-1753566:-	SRR12801019_SRR12801020	0.8065207553138822
chr1:1753060-1753566:-	SRR12801019_SRR12801024	1.0
chr1:1753060-1753566:-	SRR12801023_SRR12801020	0.0034512373388957
chr1:1753060-1753566:-	SRR12801023_SRR12801024	0.4556216536295766
chr1:1753060-1753566:-	SRR12801020_SRR12801024	0.9344958189361574
chr1:1753060-1754283:-	SRR12801019_SRR12801023	1.0
chr1:1753060-1754283:-	SRR12801019_SRR12801020	0.4121213156322329
chr1:1753060-1754283:-	SRR12801019_SRR12801024	1.0
chr1:1753060-1754283:-	SRR12801023_SRR12801020	0.035940209466788
chr1:1753060-1754283:-	SRR12801023_SRR12801024	0.9450585680957106
chr1:1753060-1754283:-	SRR12801020_SRR12801024	1.0
chr1:1753649-1754050:-	SRR12801019_SRR12801023	1.0
chr1:1753649-1754050:-	SRR12801019_SRR12801020	0.0212377669916247
chr1:1753649-1754050:-	SRR12801019_SRR12801024	0.951711291877844
chr1:1753649-1754050:-	SRR12801023_SRR12801020	0.5259231760993412
chr1:1753649-1754050:-	SRR12801023_SRR12801024	1.0
chr1:1753649-1754050:-	SRR12801020_SRR12801024	1.0
chr1:1756608-1756778:+	SRR12801019_SRR12801023	1.0
chr1:1756608-1756778:+	SRR12801019_SRR12801020	1.0
chr1:1756608-1756778:+	SRR12801019_SRR12801024	0.3256439359748324
chr1:1756608-1756778:+	SRR12801023_SRR12801020	1.0
chr1:1756608-1756778:+	SRR12801023_SRR12801024	0.5899512773668258
chr1:1756608-1756778:+	SRR12801020_SRR12801024	0.0460074178286643
chr1:1756608-1757180:-	SRR12801019_SRR12801023	1.0
chr1:1756608-1757180:-	SRR12801019_SRR12801020	1.0
chr1:1756608-1757180:-	SRR12801019_SRR12801024	0.0442990693073851
chr1:1756608-1757180:-	SRR12801023_SRR12801020	1.0
chr1:1756608-1757180:-	SRR12801023_SRR12801024	0.8136798198998756
chr1:1756608-1757180:-	SRR12801020_SRR12801024	1.0
chr1:2391958-2395783:-	SRR12801019_SRR12801023	1.0
chr1:2391958-2395783:-	SRR12801019_SRR12801020	1.0
chr1:2391958-2395783:-	SRR12801019_SRR12801024	0.6000107455680114
chr1:2391958-2395783:-	SRR12801023_SRR12801020	1.0
chr1:2391958-2395783:-	SRR12801023_SRR12801024	0.0326718263826332
chr1:2391958-2395783:-	SRR12801020_SRR12801024	0.0086740615848539
chr1:6186710-6192929:+	SRR12801019_SRR12801023	1.0
chr1:6186710-6192929:+	SRR12801019_SRR12801020	0.8377460825715558
chr1:6186710-6192929:+	SRR12801019_SRR12801024	0.0021155845302007
chr1:6186710-6192929:+	SRR12801023_SRR12801020	0.3602713061714988
chr1:6186710-6192929:+	SRR12801023_SRR12801024	0.0001774537915736
chr1:6186710-6192929:+	SRR12801020_SRR12801024	0.932281266209894
chr1:6186816-6192929:+	SRR12801019_SRR12801023	1.0
chr1:6186816-6192929:+	SRR12801019_SRR12801020	1.0
chr1:6186816-6192929:+	SRR12801019_SRR12801024	0.2643127509180102
chr1:6186816-6192929:+	SRR12801023_SRR12801020	0.2441621473007374
chr1:6186816-6192929:+	SRR12801023_SRR12801024	0.0016622757743107
chr1:6186816-6192929:+	SRR12801020_SRR12801024	1.0
chr1:6197756-6199561:-	SRR12801019_SRR12801023	1.0
chr1:6197756-6199561:-	SRR12801019_SRR12801020	0.0724392383062938
chr1:6197756-6199561:-	SRR12801019_SRR12801024	1.0
chr1:6197756-6199561:-	SRR12801023_SRR12801020	3.867446139842589e-05
chr1:6197756-6199561:-	SRR12801023_SRR12801024	0.2495192508987636
chr1:6197756-6199561:-	SRR12801020_SRR12801024	0.1760916657781562
chr1:6197756-6200488:-	SRR12801019_SRR12801023	1.0
chr1:6197756-6200488:-	SRR12801019_SRR12801020	0.5333708949610353
chr1:6197756-6200488:-	SRR12801019_SRR12801024	1.0
chr1:6197756-6200488:-	SRR12801023_SRR12801020	0.0038185088719422
chr1:6197756-6200488:-	SRR12801023_SRR12801024	1.0
chr1:6197756-6200488:-	SRR12801020_SRR12801024	0.0347411289513199
chr1:10399704-10400375:-	SRR12801019_SRR12801023	1.0
chr1:10399704-10400375:-	SRR12801019_SRR12801020	0.0845656327532052
chr1:10399704-10400375:-	SRR12801019_SRR12801024	0.0494895636055737
chr1:10399704-10400375:-	SRR12801023_SRR12801020	1.0
chr1:10399704-10400375:-	SRR12801023_SRR12801024	1.0
chr1:10399704-10400375:-	SRR12801020_SRR12801024	1.0
chr1:10399704-10400392:-	SRR12801019_SRR12801023	1.0
chr1:10399704-10400392:-	SRR12801019_SRR12801020	0.0026349668430326
chr1:10399704-10400392:-	SRR12801019_SRR12801024	0.0010300032598211
chr1:10399704-10400392:-	SRR12801023_SRR12801020	1.0
chr1:10399704-10400392:-	SRR12801023_SRR12801024	1.0
chr1:10399704-10400392:-	SRR12801020_SRR12801024	1.0
chr1:15873136-15876201:+	SRR12801019_SRR12801023	1.0
chr1:15873136-15876201:+	SRR12801019_SRR12801020	1.0
chr1:15873136-15876201:+	SRR12801019_SRR12801024	0.0397720783945273
chr1:15873136-15876201:+	SRR12801023_SRR12801020	1.0
chr1:15873136-15876201:+	SRR12801023_SRR12801024	0.3352942702429595
chr1:15873136-15876201:+	SRR12801020_SRR12801024	0.0572670420043867
chr1:15874395-15876201:+	SRR12801019_SRR12801023	1.0
chr1:15874395-15876201:+	SRR12801019_SRR12801020	1.0
chr1:15874395-15876201:+	SRR12801019_SRR12801024	0.0397720783945273
chr1:15874395-15876201:+	SRR12801023_SRR12801020	1.0
chr1:15874395-15876201:+	SRR12801023_SRR12801024	0.3352942702429595
chr1:15874395-15876201:+	SRR12801020_SRR12801024	0.0572670420043867
chr1:16440853-16441165:+	SRR12801019_SRR12801023	1.0
chr1:16440853-16441165:+	SRR12801019_SRR12801020	0.7572564218977291
chr1:16440853-16441165:+	SRR12801019_SRR12801024	0.0006334902225304
chr1:16440853-16441165:+	SRR12801023_SRR12801020	0.18233497646137
chr1:16440853-16441165:+	SRR12801023_SRR12801024	5.0030308409018674e-05
chr1:16440853-16441165:+	SRR12801020_SRR12801024	0.7572119437732315
chr1:16440853-16441165:-	SRR12801019_SRR12801023	1.0
chr1:16440853-16441165:-	SRR12801019_SRR12801020	1.0
chr1:16440853-16441165:-	SRR12801019_SRR12801024	0.0116066385209551
chr1:16440853-16441165:-	SRR12801023_SRR12801020	1.0
chr1:16440853-16441165:-	SRR12801023_SRR12801024	0.0749868647134928
chr1:16440853-16441165:-	SRR12801020_SRR12801024	0.7001256386363397
chr1:16440853-16443631:+	SRR12801019_SRR12801023	1.0
chr1:16440853-16443631:+	SRR12801019_SRR12801020	0.1762064185632603
chr1:16440853-16443631:+	SRR12801019_SRR12801024	0.0005363868776073
chr1:16440853-16443631:+	SRR12801023_SRR12801020	0.0679894191134089
chr1:16440853-16443631:+	SRR12801023_SRR12801024	0.0002860856931486
chr1:16440853-16443631:+	SRR12801020_SRR12801024	1.0
chr1:16440853-16443631:-	SRR12801019_SRR12801023	1.0
chr1:16440853-16443631:-	SRR12801019_SRR12801020	1.0
chr1:16440853-16443631:-	SRR12801019_SRR12801024	0.0116066385209551
chr1:16440853-16443631:-	SRR12801023_SRR12801020	1.0
chr1:16440853-16443631:-	SRR12801023_SRR12801024	0.0749868647134928
chr1:16440853-16443631:-	SRR12801020_SRR12801024	0.7001256386363397
chr1:16593567-16594591:+	SRR12801019_SRR12801023	0.6048397651676909
chr1:16593567-16594591:+	SRR12801019_SRR12801020	1.0
chr1:16593567-16594591:+	SRR12801019_SRR12801024	1.0
chr1:16593567-16594591:+	SRR12801023_SRR12801020	0.0127368526912578
chr1:16593567-16594591:+	SRR12801023_SRR12801024	0.0184112626229857
chr1:16593567-16594591:+	SRR12801020_SRR12801024	1.0
chr1:16595013-16608507:+	SRR12801019_SRR12801023	1.0
chr1:16595013-16608507:+	SRR12801019_SRR12801020	0.2590158743118486
chr1:16595013-16608507:+	SRR12801019_SRR12801024	0.0841615206459922
chr1:16595013-16608507:+	SRR12801023_SRR12801020	0.066859665188646
chr1:16595013-16608507:+	SRR12801023_SRR12801024	0.0179203676049367
chr1:16595013-16608507:+	SRR12801020_SRR12801024	1.0
chr1:16595013-16608507:-	SRR12801019_SRR12801023	1.0
chr1:16595013-16608507:-	SRR12801019_SRR12801020	1.0
chr1:16595013-16608507:-	SRR12801019_SRR12801024	0.0343681599422181
chr1:16595013-16608507:-	SRR12801023_SRR12801020	0.0537516600041384
chr1:16595013-16608507:-	SRR12801023_SRR12801024	0.0001293030030027
chr1:16595013-16608507:-	SRR12801020_SRR12801024	1.0
chr1:16607691-16608507:-	SRR12801019_SRR12801023	1.0
chr1:16607691-16608507:-	SRR12801019_SRR12801020	1.0
chr1:16607691-16608507:-	SRR12801019_SRR12801024	0.3962240206823962
chr1:16607691-16608507:-	SRR12801023_SRR12801020	0.0770753176188983
chr1:16607691-16608507:-	SRR12801023_SRR12801024	0.0013180415445376
chr1:16607691-16608507:-	SRR12801020_SRR12801024	1.0
chr1:16635168-16644645:-	SRR12801019_SRR12801023	1.0
chr1:16635168-16644645:-	SRR12801019_SRR12801020	0.5718945019122027
chr1:16635168-16644645:-	SRR12801019_SRR12801024	0.2463947902218356
chr1:16635168-16644645:-	SRR12801023_SRR12801020	0.1248506513311988
chr1:16635168-16644645:-	SRR12801023_SRR12801024	0.0376981575694179
chr1:16635168-16644645:-	SRR12801020_SRR12801024	1.0
chr1:16642850-16643027:-	SRR12801019_SRR12801023	1.0
chr1:16642850-16643027:-	SRR12801019_SRR12801020	1.0
chr1:16642850-16643027:-	SRR12801019_SRR12801024	0.6990661711510282
chr1:16642850-16643027:-	SRR12801023_SRR12801020	0.3317382662064809
chr1:16642850-16643027:-	SRR12801023_SRR12801024	0.0195953559896719
chr1:16642850-16643027:-	SRR12801020_SRR12801024	1.0
chr1:17632466-17634834:+	SRR12801019_SRR12801023	1.0
chr1:17632466-17634834:+	SRR12801019_SRR12801020	0.4089799881474989
chr1:17632466-17634834:+	SRR12801019_SRR12801024	0.0185305102180884
chr1:17632466-17634834:+	SRR12801023_SRR12801020	1.0
chr1:17632466-17634834:+	SRR12801023_SRR12801024	0.9759861731077928
chr1:17632466-17634834:+	SRR12801020_SRR12801024	1.0
chr1:19153939-19154917:-	SRR12801019_SRR12801023	1.0
chr1:19153939-19154917:-	SRR12801019_SRR12801020	0.2763971578873165
chr1:19153939-19154917:-	SRR12801019_SRR12801024	0.0044952564885404
chr1:19153939-19154917:-	SRR12801023_SRR12801020	1.0
chr1:19153939-19154917:-	SRR12801023_SRR12801024	0.2281209991324485
chr1:19153939-19154917:-	SRR12801020_SRR12801024	1.0
chr1:19153954-19154917:-	SRR12801019_SRR12801023	1.0
chr1:19153954-19154917:-	SRR12801019_SRR12801020	0.2763971578873165
chr1:19153954-19154917:-	SRR12801019_SRR12801024	0.0044952564885404
chr1:19153954-19154917:-	SRR12801023_SRR12801020	1.0
chr1:19153954-19154917:-	SRR12801023_SRR12801024	0.2281209991324485
chr1:19153954-19154917:-	SRR12801020_SRR12801024	1.0
chr1:20779911-20787194:-	SRR12801019_SRR12801023	1.0
chr1:20779911-20787194:-	SRR12801019_SRR12801020	1.0
chr1:20779911-20787194:-	SRR12801019_SRR12801024	0.0009376238632313
chr1:20779911-20787194:-	SRR12801023_SRR12801020	1.0
chr1:20779911-20787194:-	SRR12801023_SRR12801024	0.1772919663077083
chr1:20779911-20787194:-	SRR12801020_SRR12801024	0.0335211441683581
chr1:20780540-20786648:-	SRR12801019_SRR12801023	1.0
chr1:20780540-20786648:-	SRR12801019_SRR12801020	0.6490317351319242
chr1:20780540-20786648:-	SRR12801019_SRR12801024	0.0035871031214992
chr1:20780540-20786648:-	SRR12801023_SRR12801020	1.0
chr1:20780540-20786648:-	SRR12801023_SRR12801024	0.1075887506892858
chr1:20780540-20786648:-	SRR12801020_SRR12801024	1.0
chr1:20865262-20879281:-	SRR12801019_SRR12801023	1.0
chr1:20865262-20879281:-	SRR12801019_SRR12801020	1.0
chr1:20865262-20879281:-	SRR12801019_SRR12801024	0.0105365800232918
chr1:20865262-20879281:-	SRR12801023_SRR12801020	1.0
chr1:20865262-20879281:-	SRR12801023_SRR12801024	0.0021784212883741
chr1:20865262-20879281:-	SRR12801020_SRR12801024	0.3547553282199585
chr1:20865262-20879322:-	SRR12801019_SRR12801023	1.0
chr1:20865262-20879322:-	SRR12801019_SRR12801020	1.0
chr1:20865262-20879322:-	SRR12801019_SRR12801024	0.0105365800232918
chr1:20865262-20879322:-	SRR12801023_SRR12801020	1.0
chr1:20865262-20879322:-	SRR12801023_SRR12801024	0.0021784212883741
chr1:20865262-20879322:-	SRR12801020_SRR12801024	0.3547553282199585
chr1:23072197-23073273:-	SRR12801019_SRR12801023	1.0
chr1:23072197-23073273:-	SRR12801019_SRR12801020	0.0086442543321085
chr1:23072197-23073273:-	SRR12801019_SRR12801024	0.1521916567755155
chr1:23072197-23073273:-	SRR12801023_SRR12801020	0.0147316377122993
chr1:23072197-23073273:-	SRR12801023_SRR12801024	0.3366536133005598
chr1:23072197-23073273:-	SRR12801020_SRR12801024	1.0
chr1:23072197-23073291:-	SRR12801019_SRR12801023	1.0
chr1:23072197-23073291:-	SRR12801019_SRR12801020	0.0086442543321085
chr1:23072197-23073291:-	SRR12801019_SRR12801024	0.1521916567755155
chr1:23072197-23073291:-	SRR12801023_SRR12801020	0.0147316377122993
chr1:23072197-23073291:-	SRR12801023_SRR12801024	0.3366536133005598
chr1:23072197-23073291:-	SRR12801020_SRR12801024	1.0
chr1:23967723-23971572:+	SRR12801019_SRR12801023	1.0
chr1:23967723-23971572:+	SRR12801019_SRR12801020	0.782620644228807
chr1:23967723-23971572:+	SRR12801019_SRR12801024	0.638338594329253
chr1:23967723-23971572:+	SRR12801023_SRR12801020	0.0028042173770622
chr1:23967723-23971572:+	SRR12801023_SRR12801024	0.0012332430401906
chr1:23967723-23971572:+	SRR12801020_SRR12801024	1.0
chr1:23967723-23971849:-	SRR12801019_SRR12801023	1.0
chr1:23967723-23971849:-	SRR12801019_SRR12801020	0.2701782466404285
chr1:23967723-23971849:-	SRR12801019_SRR12801024	0.6973021861040509
chr1:23967723-23971849:-	SRR12801023_SRR12801020	0.0112297813574113
chr1:23967723-23971849:-	SRR12801023_SRR12801024	0.084140813640909
chr1:23967723-23971849:-	SRR12801020_SRR12801024	1.0
chr1:23975077-23978712:+	SRR12801019_SRR12801023	0.6329682422953327
chr1:23975077-23978712:+	SRR12801019_SRR12801020	0.0730103620500815
chr1:23975077-23978712:+	SRR12801019_SRR12801024	7.193987823435801e-06
chr1:23975077-23978712:+	SRR12801023_SRR12801020	1.0
chr1:23975077-23978712:+	SRR12801023_SRR12801024	0.532356824012309
chr1:23975077-23978712:+	SRR12801020_SRR12801024	0.936959298677988
chr1:23975077-23978712:-	SRR12801019_SRR12801023	1.0
chr1:23975077-23978712:-	SRR12801019_SRR12801020	0.3586611122921219
chr1:23975077-23978712:-	SRR12801019_SRR12801024	0.0002030515144353
chr1:23975077-23978712:-	SRR12801023_SRR12801020	1.0
chr1:23975077-23978712:-	SRR12801023_SRR12801024	0.2075200038336858
chr1:23975077-23978712:-	SRR12801020_SRR12801024	0.6904872827076981
chr1:23978273-23978652:+	SRR12801019_SRR12801023	1.0
chr1:23978273-23978652:+	SRR12801019_SRR12801020	0.0449901735982067
chr1:23978273-23978652:+	SRR12801019_SRR12801024	0.0010245937433997
chr1:23978273-23978652:+	SRR12801023_SRR12801020	1.0
chr1:23978273-23978652:+	SRR12801023_SRR12801024	1.0
chr1:23978273-23978652:+	SRR12801020_SRR12801024	1.0
chr1:23978273-23978652:-	SRR12801019_SRR12801023	1.0
chr1:23978273-23978652:-	SRR12801019_SRR12801020	0.4110898904920705
chr1:23978273-23978652:-	SRR12801019_SRR12801024	0.0083668775088035
chr1:23978273-23978652:-	SRR12801023_SRR12801020	1.0
chr1:23978273-23978652:-	SRR12801023_SRR12801024	0.4559707561082602
chr1:23978273-23978652:-	SRR12801020_SRR12801024	1.0
chr1:26438284-26442730:-	SRR12801019_SRR12801023	1.0
chr1:26438284-26442730:-	SRR12801019_SRR12801020	0.2963507098586548
chr1:26438284-26442730:-	SRR12801019_SRR12801024	0.0170901741841407
chr1:26438284-26442730:-	SRR12801023_SRR12801020	0.6457471277052634
chr1:26438284-26442730:-	SRR12801023_SRR12801024	0.1275598736548645
chr1:26438284-26442730:-	SRR12801020_SRR12801024	1.0
chr1:26911235-26924088:-	SRR12801019_SRR12801023	1.0
chr1:26911235-26924088:-	SRR12801019_SRR12801020	0.4478556366159235
chr1:26911235-26924088:-	SRR12801019_SRR12801024	0.0266615277389953
chr1:26911235-26924088:-	SRR12801023_SRR12801020	1.0
chr1:26911235-26924088:-	SRR12801023_SRR12801024	0.254020385158173
chr1:26911235-26924088:-	SRR12801020_SRR12801024	1.0
chr1:26921929-26924088:-	SRR12801019_SRR12801023	1.0
chr1:26921929-26924088:-	SRR12801019_SRR12801020	0.4478556366159235
chr1:26921929-26924088:-	SRR12801019_SRR12801024	0.0266615277389953
chr1:26921929-26924088:-	SRR12801023_SRR12801020	1.0
chr1:26921929-26924088:-	SRR12801023_SRR12801024	0.254020385158173
chr1:26921929-26924088:-	SRR12801020_SRR12801024	1.0
chr1:27330804-27332069:-	SRR12801019_SRR12801023	1.0
chr1:27330804-27332069:-	SRR12801019_SRR12801020	1.0
chr1:27330804-27332069:-	SRR12801019_SRR12801024	1.0
chr1:27330804-27332069:-	SRR12801023_SRR12801020	0.9930587608656646
chr1:27330804-27332069:-	SRR12801023_SRR12801024	1.0
chr1:27330804-27332069:-	SRR12801020_SRR12801024	0.0174459205578739
chr1:27331137-27332069:-	SRR12801019_SRR12801023	1.0
